region,lat,lng,nodos,golden
Region5,18.680992,-88.398786,1,100
Region8,18.685073,-99.248856,1,37
Region7,18.68555,-98.8003056,2,6
Region9,18.71041,-99.2537,1,87
Region7,18.714969,-97.47104,1,62
Region7,18.7164722,-96.3674722,1,100
Region2,18.731857,-91.637764,1,0
Region9,18.736595,-99.247467,1,12
Region7,18.748406,-98.44872,1,12
Vacio,18.7498778,-103.7238778,1,62
Region7,18.750442,-98.9097,2,56
Region9,18.76156,-98.88443,1,87
Region4,18.765,-99.1236111,2,18.5
Region7,18.7664,-96.453581,1,100
Region8,18.77041,-98.991106,1,100
Vacio,18.77612,-97.33067,1,100
Region6,18.782022,-99.223392,1,12
Region8,18.7864,-91.49268,1,100
Region7,18.78823,-98.9544,1,62
Region9,18.791706,-98.9646,1,0
Region7,18.795944,-98.916167,1,12
Region9,18.798506,-98.956425,1,12
Region5,18.80281,-99.18822,1,62
Region7,18.8066667,-98.9394722,1,25
Region5,18.8076278,-98.9279611,1,37
Region4,18.808019,-96.722442,2,12
Region7,18.808694,-99.666444,2,62.5
Region9,18.8097222,-99.2060389,1,87
Region7,18.812479,-98.950082,1,25
Region9,18.813994,-99.212781,1,12
Region7,18.8143056,-98.9202778,1,25
Region9,18.8148,-99.2615,1,87
Region5,18.815803,-98.960613,1,100
Region7,18.82155,-97.50509,1,25
Region7,18.822325,-97.1683694,1,100
Region7,18.8234389,-97.0835611,1,100
Region5,18.826754,-103.813835,1,62
Region9,18.82747,-99.24735,1,87
Region4,18.82828,-98.94577,1,25
Region7,18.8313111,-96.92442,1,100
Region9,18.83333,-99.00046,1,12
Region4,18.835034,-98.930586,2,12
Region9,18.83784,-99.19086,1,87
Region8,18.83835,-97.127564,1,100
Region5,18.839387,-98.94901,1,25
Region9,18.840378,-99.672819,1,62
Region5,18.842476,-97.11191,1,62
Region5,18.8449167,-99.676731,1,62
Region9,18.845831,-99.198366,2,62
Region9,18.848007,-97.091923,2,56
Region9,18.848981,-99.681591,2,56
Region7,18.8498278,-97.1055083,1,100
Region8,18.85029,-96.84772,1,100
Region8,18.850444,-99.672694,1,100
Region9,18.851242,-99.688577,1,87
Region8,18.852528,-97.078694,1,100
Region9,18.8526,-99.1789,1,12
Region8,18.853582,-98.935699,3,91.3333333333
Region9,18.85382,-99.19377,1,87
Region9,18.855135,-99.211404,2,6
Region9,18.857508,-99.231885,2,43.5
Region7,18.861,-96.896599,1,100
Region7,18.861514,-97.064663,1,100
Region9,18.8618611,-97.1115,1,87
Region9,18.862309,-99.232621,2,68.5
Region3,18.862443,-98.880501,2,18.5
Region4,18.8638,-98.8697,2,12
Region7,18.86489,-97.3718,1,100
Region5,18.865875,-99.2068778,1,12
Region9,18.866064,-99.158711,2,25
Region5,18.8707222,-103.9439139,1,62
Region9,18.87075,-99.2306944,1,87
Region9,18.871781,-98.925403,4,0
Region7,18.8718167,-97.2439611,1,100
Region9,18.8727,-99.20064,1,87
Region7,18.87275,-98.92369,1,25
Region7,18.87278,-97.388353,2,43.5
Region9,18.872946,-99.175158,2,12
Region7,18.8764722,-96.9199806,1,25
Region5,18.87663,-96.93491,1,62
Region7,18.877639,-97.057861,1,100
Region7,18.87825,-96.753306,1,100
Region9,18.881861,-99.703306,1,87
Region7,18.883729,-98.87084,1,0
Region9,18.884512,-98.737221,2,18.5
Region9,18.88494,-99.16051,1,62
Region9,18.8853,-99.120175,1,62
Vacio,18.885773,-99.142997,1,87
Region6,18.886121,-98.430108,1,62
Region4,18.886925,-98.865386,2,12
Region8,18.887924,-96.946317,2,100
Region9,18.89,-99.221056,1,87
Region9,18.890532,-99.192484,1,87
Region7,18.890634,-96.934893,2,100
Region7,18.893169,-99.024902,1,100
Region9,18.8936,-99.165018,1,87
Region7,18.8950361,-96.9429333,1,50
Region7,18.8955222,-96.9359333,2,100
Region8,18.9001444,-96.9606694,1,100
Region7,18.90041,-96.968028,1,100
Vacio,18.9010994,-99.17329,1,87
Vacio,18.903881,-99.195714,1,87
Region8,18.903995,-98.925802,1,100
Region9,18.9073467,-99.2331681,1,87
Region9,18.9074494,-99.2135736,1,87
Region5,18.908035,-103.86958,1,62
Region5,18.908312,-98.450227,1,62
Region9,18.908869,-98.433863,2,62
Region9,18.909123,-99.244678,3,24.6666666667
Region9,18.90937,-98.96922,1,87
Region9,18.9104056,-99.2141278,1,62
Region7,18.9108,-99.1689,1,12
Region7,18.9112,-97.0067694,1,100
Region8,18.91195,-96.9444056,1,100
Region9,18.9128917,-99.2050306,2,62
Region7,18.913528,-99.182861,1,25
Region9,18.9151058,-99.1695931,1,87
Region8,18.91556,-99.49414,1,100
Region9,18.916211,-99.23515,1,87
Region9,18.91648,-99.20459,2,37
Region5,18.917156,-99.237028,2,62
Region9,18.918018,-99.219463,1,87
Region5,18.918989,-103.872596,2,100
Region9,18.9194,-99.1937111,1,87
Region7,18.919881,-96.967768,1,100
Region9,18.9215,-99.03688,1,62
Region4,18.922799,-99.234293,2,12
Region7,18.92302,-97.129973,1,25
Region7,18.9240778,-99.2022417,1,100
Region9,18.92421,-99.19719,1,62
Region9,18.9243,-99.24974,1,87
Region9,18.92435,-99.2141,1,87
Region9,18.926172,-99.198219,1,25
Region7,18.92618,-99.774252,1,100
Region9,18.9265278,-99.1794444,1,50
Region5,18.9271302,-99.2112458,1,25
Region9,18.928672,-99.191619,1,62
Region9,18.928846,-98.926522,2,25
Region9,18.929075,-99.2358611,1,87
Region9,18.929547,-99.179297,1,50
Region9,18.932003,-99.225396,1,87
Region5,18.933251,-103.965675,1,62
Region9,18.933845,-99.222074,2,43.5
Region9,18.9339889,-99.2138389,1,87
Region9,18.9357722,-99.1929722,2,43.5
Region9,18.9360708,-99.1955739,1,87
Region9,18.936985,-99.2458383,1,87
Region9,18.9380867,-99.2564422,1,87
